scenario_id,prompt_profile,repeat_index,variant_index,request_count,max_new_tokens,prompt_index,prompt_format,prompt_tokens,suffix_after_common_tokens,formatted_prompt_duplicate_group_size,formatted_prompt_duplicate_ordinal,formatted_prompt_sha256_16,token_ids_head,token_ids_tail,prompt_preview,formatted_prompt_preview
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,0,chat_template,1950,20,1,0,ccc6c014baf94fa0,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[9252, 47430, 4344, 855, 7559, 2783, 369, 419, 61037, 7162, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,1,chat_template,1950,20,1,0,1106fa42b4f9f253,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[2118, 5546, 1265, 3271, 421, 4734, 84648, 25978, 374, 7373, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,2,chat_template,1949,19,1,0,255c4f8ec82c5d63,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[825, 7901, 3856, 421, 6500, 10010, 12289, 1212, 419, 53596, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,3,chat_template,1951,21,1,0,4fe9a04e1fe7759b,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[2456, 518, 1378, 11, 3040, 11, 323, 8063, 34035, 7388, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,4,chat_template,1950,20,1,0,039fdd2821304396,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[16895, 646, 40736, 1283, 11504, 855, 7559, 975, 374, 30790, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,5,chat_template,1951,21,1,0,234508abcc642f8c,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[18266, 429, 1265, 537, 387, 916, 21275, 504, 419, 1598, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,6,chat_template,1948,18,1,0,6f0f0e03cb780c3a,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[62079, 1246, 264, 18054, 4911, 67181, 2524, 35136, 279, 16688, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,7,chat_template,1948,18,1,0,80fc6cd406381c26,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[6934, 279, 1790, 28431, 22990, 311, 9593, 419, 6500, 8286, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,8,chat_template,1955,25,1,0,4098acd1a0102b74,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[264, 9252, 36680, 18405, 3164, 13, 58663, 1509, 220, 24, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
shared_prefix_ultra_long_no_repeat_variant_out8_n16_rep00,shared_prefix_ultra_long_no_repeat_variant,0,1301,16,8,9,chat_template,1957,27,1,0,7a0d8c4440369bd0,"[151644, 8948, 198, 2610, 525, 1207, 16948, 11, 3465, 553, 54364, 14817, 13, 1446, 525, 264]","[1091, 264, 4911, 9252, 13, 58663, 1509, 220, 16, 15, 13, 151645, 198, 151644, 77091, 198]","Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion service runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether","<|im_start|>system
You are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>
<|im_start|>user
Telemetry Warehouse shared incident packet. Every request in this batch begins with the same telemetry warehouse ingestion se"
