scenario_id,prompt_profile,repeat_index,variant_index,request_count,max_new_tokens,prompt_index,prompt_format,prompt_tokens,suffix_after_common_tokens,formatted_prompt_sha256_16,token_ids_head,token_ids_tail,prompt_preview,formatted_prompt_preview
shared_prefix_long_variant_out8_n2_rep00,shared_prefix_long_variant,0,577,2,8,0,chat_template,324,21,f1b0ef738897c158,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[48002, 1971, 4478, 388, 1708, 327, 451, 36977, 7717, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n2_rep00,shared_prefix_long_variant,0,577,2,8,1,chat_template,325,22,d5e7bc851ddb2fc5,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[868, 1485, 585, 3018, 659, 70, 16828, 314, 2430, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n4_rep00,shared_prefix_long_variant,0,577,4,8,0,chat_template,324,21,f1b0ef738897c158,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[48002, 1971, 4478, 388, 1708, 327, 451, 36977, 7717, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n4_rep00,shared_prefix_long_variant,0,577,4,8,1,chat_template,325,22,d5e7bc851ddb2fc5,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[868, 1485, 585, 3018, 659, 70, 16828, 314, 2430, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n4_rep00,shared_prefix_long_variant,0,577,4,8,2,chat_template,323,20,ce56e6cec047fe80,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[4997, 5723, 585, 13842, 6703, 19494, 656, 451, 29278, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n4_rep00,shared_prefix_long_variant,0,577,4,8,3,chat_template,325,22,2bf12453220895ab,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[418, 827, 28, 1876, 28, 284, 4475, 20468, 8649, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n8_rep00,shared_prefix_long_variant,0,577,8,8,0,chat_template,324,21,f1b0ef738897c158,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[48002, 1971, 4478, 388, 1708, 327, 451, 36977, 7717, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n8_rep00,shared_prefix_long_variant,0,577,8,8,1,chat_template,325,22,d5e7bc851ddb2fc5,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[868, 1485, 585, 3018, 659, 70, 16828, 314, 2430, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n8_rep00,shared_prefix_long_variant,0,577,8,8,2,chat_template,323,20,ce56e6cec047fe80,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[4997, 5723, 585, 13842, 6703, 19494, 656, 451, 29278, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_variant_out8_n8_rep00,shared_prefix_long_variant,0,577,8,8,3,chat_template,325,22,2bf12453220895ab,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[418, 827, 28, 1876, 28, 284, 4475, 20468, 8649, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
