scenario_id,prompt_profile,repeat_index,variant_index,request_count,max_new_tokens,prompt_index,prompt_format,prompt_tokens,suffix_after_common_tokens,formatted_prompt_duplicate_group_size,formatted_prompt_duplicate_ordinal,formatted_prompt_sha256_16,token_ids_head,token_ids_tail,prompt_preview,formatted_prompt_preview
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,0,chat_template,324,21,1,0,f1b0ef738897c158,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[48002, 1971, 4478, 388, 1708, 327, 451, 36977, 7717, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,1,chat_template,325,22,1,0,d5e7bc851ddb2fc5,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[868, 1485, 585, 3018, 659, 70, 16828, 314, 2430, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,2,chat_template,323,20,1,0,ce56e6cec047fe80,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[4997, 5723, 585, 13842, 6703, 19494, 656, 451, 29278, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,3,chat_template,325,22,1,0,2bf12453220895ab,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[418, 827, 28, 1876, 28, 284, 4475, 20468, 8649, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,4,chat_template,324,21,1,0,195fb3d68012d72f,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[416, 19038, 990, 6514, 4478, 388, 746, 314, 12261, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,5,chat_template,325,22,1,0,a38eefceef2d3915,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[338, 868, 441, 325, 690, 11613, 429, 451, 1658, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,6,chat_template,323,20,1,0,d39dd0db738d96ab,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[253, 17272, 2116, 29, 12821, 1533, 13000, 260, 4446, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,7,chat_template,322,19,1,0,be7bd55515efe58c,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[260, 1867, 26211, 8613, 288, 15063, 451, 13842, 4973, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,8,chat_template,330,27,1,0,f86f87540b21f136,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[29, 12377, 11706, 4726, 30, 47951, 5033, 216, 41, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,9,chat_template,331,28,1,0,211726549313b56e,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[253, 2116, 14496, 30, 47951, 5033, 216, 33, 32, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,10,chat_template,329,26,1,0,448e257343ca824c,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[29, 8087, 7493, 30, 47951, 5033, 216, 33, 33, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,11,chat_template,329,26,1,0,698df5ee7297d34c,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[253, 41088, 27112, 30, 47951, 5033, 216, 33, 34, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,12,chat_template,328,25,1,0,4f4c4e3c5833802e,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[29, 13394, 2364, 30, 47951, 5033, 216, 33, 35, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,13,chat_template,331,28,1,0,680735123c23bb39,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[9797, 281, 11706, 30, 47951, 5033, 216, 33, 36, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
shared_prefix_long_no_repeat_variant_out8_n16_rep00,shared_prefix_long_no_repeat_variant,0,577,16,8,14,chat_template,329,26,1,0,e0d4c4575bde0103,"[1, 9690, 198, 2683, 359, 253, 5356, 5646, 11173, 3365, 3511, 308, 34519, 28, 7018, 411]","[23488, 6011, 16828, 30, 47951, 5033, 216, 33, 37, 30, 2, 198, 1, 520, 9531, 198]","Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rollout timeline, model-serving envelope, and measurement checklist. The platform is testing whether vLLM can reuse ex","<|im_start|>system
You are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>
<|im_start|>user
Search Indexer shared incident packet. Every request in this batch begins with the same search indexing pipeline runbook, rol"
